date,region,product,units_sold,price,revenue,promotion_flag,discount_pct,temperature,rainfall_mm,is_holiday
01-01-2024,North,Cola_Classic,1017,40,40680,0,0,27.57,0.9,0
01-01-2024,North,Cola_Zero,716,45,32220,0,0,27.26,1.16,0
01-01-2024,South,Cola_Classic,1025,40,41000,0,0,28.95,0.73,0
01-01-2024,South,Cola_Zero,611,45,27495,0,0,22.48,0.3,0
01-01-2024,East,Cola_Classic,1126,35.78,40287.89,1,10.55,22.48,0.17,0
01-01-2024,East,Cola_Zero,684,45,30780,0,0,25.68,0.4,0
01-01-2024,West,Cola_Classic,1037,40,41480,0,0,22.17,0.05,0
01-01-2024,West,Cola_Zero,614,45,27630,0,0,25.77,2.28,0
02-01-2024,North,Cola_Classic,1360,34.72,47220.43,1,13.2,30.63,0.59,0
02-01-2024,North,Cola_Zero,750,45,33750,0,0,27.35,0.47,0
02-01-2024,South,Cola_Classic,1180,35.41,41787.94,1,11.47,23.87,1.19,0
02-01-2024,South,Cola_Zero,847,38.27,32415.53,1,14.95,19.28,0.56,0
02-01-2024,East,Cola_Classic,1252,33.66,42137.89,1,15.86,24.12,0.03,0
02-01-2024,East,Cola_Zero,712,45,32040,0,0,26.51,0.52,0
02-01-2024,West,Cola_Classic,924,40,36960,0,0,22.72,0.78,0
02-01-2024,West,Cola_Zero,809,38.16,30871.52,1,15.2,23.68,0.11,0
03-01-2024,North,Cola_Classic,1081,40,43240,0,0,25.18,1.57,0
03-01-2024,North,Cola_Zero,694,45,31230,0,0,26.31,0.31,0
03-01-2024,South,Cola_Classic,995,40,39800,0,0,26.23,2.47,0
03-01-2024,South,Cola_Zero,755,45,33975,0,0,28.06,1.64,0
03-01-2024,East,Cola_Classic,1127,40,45080,0,0,31.25,0.03,0
03-01-2024,East,Cola_Zero,671,45,30195,0,0,21.81,3.16,0
03-01-2024,West,Cola_Classic,1014,40,40560,0,0,24.79,1.54,0
03-01-2024,West,Cola_Zero,753,41.34,31129.27,1,8.13,26.62,0.61,0
04-01-2024,North,Cola_Classic,1162,37.86,43987.75,1,5.36,29.43,5.02,0
04-01-2024,North,Cola_Zero,643,45,28935,0,0,23.87,1.02,0
04-01-2024,South,Cola_Classic,1009,40,40360,0,0,25.87,0.71,0
04-01-2024,South,Cola_Zero,586,45,26370,0,0,20.82,0.02,0
04-01-2024,East,Cola_Classic,1005,40,40200,0,0,23.09,0.13,0
04-01-2024,East,Cola_Zero,706,45,31770,0,0,25.06,0.51,0
04-01-2024,West,Cola_Classic,1063,40,42520,0,0,25.73,0.07,0
04-01-2024,West,Cola_Zero,595,45,26775,0,0,24.55,2.53,0
05-01-2024,North,Cola_Classic,1072,40,42880,0,0,22.89,1.11,0
05-01-2024,North,Cola_Zero,824,45,37080,0,0,29.01,0.43,0
05-01-2024,South,Cola_Classic,969,40,38760,0,0,24.69,0.29,0
05-01-2024,South,Cola_Zero,743,45,33435,0,0,28.8,0.39,0
05-01-2024,East,Cola_Classic,1055,40,42200,0,0,23.85,0.42,0
05-01-2024,East,Cola_Zero,714,42.41,30283.54,1,5.75,22.51,0.03,0
05-01-2024,West,Cola_Classic,1029,40,41160,0,0,30.4,0.34,0
05-01-2024,West,Cola_Zero,828,39.8,32951.17,1,11.56,26.79,0.27,0
06-01-2024,North,Cola_Classic,1051,40,42040,0,0,23.63,1.82,0
06-01-2024,North,Cola_Zero,792,40.73,32255.65,1,9.5,23.98,0.41,0
06-01-2024,South,Cola_Classic,954,40,38160,0,0,26.25,0.86,0
06-01-2024,South,Cola_Zero,751,45,33795,0,0,26.61,0.38,0
06-01-2024,East,Cola_Classic,1130,40,45200,0,0,26.39,0.11,0
06-01-2024,East,Cola_Zero,731,45,32895,0,0,29.52,0.23,0
06-01-2024,West,Cola_Classic,1087,40,43480,0,0,27.17,1.17,0
06-01-2024,West,Cola_Zero,693,45,31185,0,0,23.24,0.39,0
07-01-2024,North,Cola_Classic,1064,40,42560,0,0,26.63,0.88,0
07-01-2024,North,Cola_Zero,756,45,34020,0,0,26.37,0.47,0
07-01-2024,South,Cola_Classic,893,40,35720,0,0,19.85,0.11,0
07-01-2024,South,Cola_Zero,605,45,27225,0,0,28.54,1.82,0
07-01-2024,East,Cola_Classic,861,40,34440,0,0,19.32,0.72,0
07-01-2024,East,Cola_Zero,899,39.01,35072.59,1,13.3,25.19,0.93,0
07-01-2024,West,Cola_Classic,1117,40,44680,0,0,28.29,0.06,0
07-01-2024,West,Cola_Zero,792,41.47,32848.01,1,7.83,27.42,3.49,0
08-01-2024,North,Cola_Classic,942,40,37680,0,0,26.5,3.71,0
08-01-2024,North,Cola_Zero,961,36.93,35492.37,1,17.93,27.2,0.31,0
08-01-2024,South,Cola_Classic,1004,40,40160,0,0,28.4,0.68,0
08-01-2024,South,Cola_Zero,610,45,27450,0,0,19.12,0.19,0
08-01-2024,East,Cola_Classic,960,40,38400,0,0,24.13,0.48,0
08-01-2024,East,Cola_Zero,600,45,27000,0,0,19.98,1.9,0
08-01-2024,West,Cola_Classic,999,40,39960,0,0,23.1,0.39,0
08-01-2024,West,Cola_Zero,682,45,30690,0,0,25.27,0.97,0
09-01-2024,North,Cola_Classic,980,40,39200,0,0,22.52,2.12,0
09-01-2024,North,Cola_Zero,650,45,29250,0,0,25.61,0.01,0
