date,region,tv_spend,digital_spend,influencer_spend,outdoor_spend,radio_spend
01-01-2024,North,27490.80238,19507.14306,6659.969709,10986.58484,2624.074562
01-01-2024,South,23119.89041,10580.83612,7330.880729,11011.15012,4832.290311
01-01-2024,East,20411.68989,19699.09852,7162.213204,7123.391107,2727.299869
01-01-2024,West,23668.0902,13042.42243,5623.782158,9319.450186,3164.916561
02-01-2024,North,32237.05789,11394.93861,4460.723243,8663.618433,3824.279937
02-01-2024,South,35703.51923,11996.73782,5571.172192,10924.14569,2185.801651
02-01-2024,East,32150.89704,11705.24124,3325.257965,14488.85537,5862.528132
02-01-2024,West,36167.94696,13046.13769,3488.36057,11842.33027,3760.609975
03-01-2024,North,22440.7647,14951.7691,3171.942606,14093.20402,3035.119926
03-01-2024,South,33250.44569,13117.11076,5600.340106,10467.10279,2739.417822
03-01-2024,East,39391.69256,17751.32823,7697.494708,13948.2735,4391.599915
03-01-2024,West,38437.4847,10884.92502,3979.914312,5452.272889,3301.321323
04-01-2024,North,27773.54579,12713.49032,7143.687546,8567.533267,3123.738039
04-01-2024,South,30853.92166,11409.24225,7010.984904,5745.506437,5947.547746
04-01-2024,East,35444.89539,11987.15682,3027.610586,13154.61428,4827.429375
04-01-2024,West,34580.14336,17712.70347,3370.223259,8584.657285,2463.476238
05-01-2024,North,37262.06852,16232.98127,4654.490124,5635.583503,3243.929287
05-01-2024,South,26503.66644,17296.06178,6187.787357,13872.12743,3888.859701
05-01-2024,East,22391.88492,17132.44787,6803.925243,10612.77198,5083.86872
05-01-2024,West,29875.91193,15227.32829,5137.705092,5254.191267,2431.565708
06-01-2024,North,20628.58371,16364.10411,4571.779905,10085.70691,5630.265896
06-01-2024,South,24985.84458,14103.82923,6777.755693,7287.981655,2307.919639
06-01-2024,East,25795.02906,11612.21287,7648.488262,13081.2038,4533.615026
06-01-2024,West,37429.2118,18036.72077,3932.850294,13925.58998,4157.368968
07-01-2024,North,36148.8031,18960.913,4590.017375,6100.519245,2911.74065
07-01-2024,South,28542.15577,18180.14766,7303.652916,5069.521305,4042.98921
07-01-2024,East,28348.22006,12221.0781,3599.326837,8376.151714,5771.638816
07-01-2024,West,26464.05864,15187.90622,6515.094794,8636.296024,5887.128331
08-01-2024,North,39248.9459,12517.82296,5486.242529,8008.783098,3139.361978
08-01-2024,South,20737.73895,16095.64334,5513.395116,5514.787512,3114.585857
08-01-2024,East,38165.31772,12395.61891,3724.47436,9894.527603,5942.601816
08-01-2024,West,24841.10543,16721.35547,6808.098077,7376.37544,4912.865394
09-01-2024,North,27355.66265,16323.05831,6167.648554,10357.74684,2361.15908
09-01-2024,South,36706.04991,13207.80065,3932.592552,5407.751416,4363.571773
09-01-2024,East,33551.28724,10165.87829,5560.465291,7264.957752,4580.691162
09-01-2024,West,23487.32858,16909.37738,4933.676732,14367.29989,2550.083777
10-01-2024,North,26821.32702,11134.73521,7623.468091,13773.39353,3031.766511
10-01-2024,South,33199.68092,18172.222,5776.004058,10296.50578,2967.409164
10-01-2024,East,21862.05536,18972.15758,7502.090286,11331.01457,3356.119164
10-01-2024,West,26984.19149,17259.55679,7485.5513,13870.86424,5119.502183
11-01-2024,North,32840.63292,10841.39965,3808.14357,13985.54189,4425.716239
